teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
1401;14;białobrzeski;0;0;0;4;3;0;0;134.53;m;;63910;639;33542;52;240;306
1402;14;ciechanowski;3;3775385;183227;5;8;2;556;203.95;m;;105980;1060;89976;85;111;101
1403;14;garwoliński;4;2883202;216876;4;6;0;0;183.92;m;;128483;1285;108981;85;68;69
1404;14;gostyniński;0;0;0;0;0;0;0;147.67;m;;61481;615;45461;74;252;263
1405;14;grodziski(mazowieckie);14;6826332;194608;5;8;2;269;413.82;m;;36704;367;92847;253;306;92
1406;14;grójecki;3;1958268;64469;8;9;0;0;197.59;m;;126773;1268;98701;78;71;83
1407;14;kozienicki;0;0;0;1;3;0;0;217.33;m;;91610;916;60699;66;151;195
1408;14;legionowski;3;783051;20090;7;12;0;0;377.95;m;;39076;390;115384;295;303;56
1409;14;lipski;0;0;0;0;0;0;0;123.24;m;;74022;740;34496;47;198;304
1410;14;łosicki;3;843994;34922;2;1;0;0;126.05;m;;77245;772;31335;41;190;308
1411;14;makowski;2;408348;5756;2;1;0;0;130.71;m;;106463;1065;45580;43;110;261
1412;14;miński;0;0;0;8;8;0;22;258.84;m;;116372;1164;152945;131;91;24
1413;14;mławski;2;8600812;60916;3;3;0;0;179.88;m;;118182;1182;73376;62;88;154
1414;14;nowodworski(mazowieckie);1;872057;517;7;11;0;0;267.45;m;;69479;695;79298;114;220;128
1415;14;ostrołęcki;0;0;0;2;2;0;0;144.42;m;;209355;2092;88708;42;7;104
1416;14;ostrowski(mazowieckie);5;2315899;97994;1;1;0;17;163.84;m;;121779;1218;73284;60;82;155
1417;14;otwocki;10;4028459;47148;4;10;2;676;363.76;m;;61592;616;123770;201;251;44
1418;14;piaseczyński;2;461379;5007;14;11;0;0;552.25;m;;62100;621;182076;293;247;9
1419;14;płocki;0;0;0;8;6;0;0;176.58;m;;179663;1796;111226;62;15;65
