teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1
2476;24;m.Świętochłowice;0;0;0;1;1;0;0;218.23;s
2477;24;m.Tychy;16;13188876;591003;10;10;0;64;341.05;s
2478;24;m.Zabrze;10;6658132;-59537;7;10;0;0;243.66;s
2479;24;m.Żory;0;0;0;3;5;0;97;263.19;s
2601;26;buski;2;541180;5179;10;16;0;0;153.87;c
2602;26;jędrzejowski;4;2508251;200283;2;4;0;0;137.03;c
2603;26;kazimierski;1;557933;7327;1;3;0;0;90.39;c
2604;26;kielecki;11;6399144;709740;21;36;0;0;158.38;c
2605;26;konecki;4;856533;27877;9;9;0;0;142.09;c
2606;26;opatowski;1;468782;0;1;4;0;0;122.15;c
2607;26;ostrowiecki;0;0;0;9;9;1;524;175.18;c
2608;26;pińczowski;3;3021060;46262;1;2;1;57;139.31;c
2609;26;sandomierski;1;1894226;49830;11;11;2;86;150.55;c
2610;26;skarżyski;2;3780212;33825;5;8;0;0;185.26;c
2611;26;starachowicki;2;717488;22532;3;3;0;0;176.88;c
2612;26;staszowski;1;234403;-30042;4;5;0;0;156.74;c
2613;26;włoszczowski;1;164909;-267;4;3;0;0;138.04;c
2661;26;m.Kielce;0;0;0;25;27;8;7975;295.57;c
2801;28;bartoszycki;0;0;0;5;5;0;32;148.93;n
2802;28;braniewski;0;0;0;5;5;0;0;154.05;n
2803;28;działdowski;2;360400;24135;6;7;0;0;157.05;n
2804;28;elbląski;3;744564;5830;5;4;0;0;140.8;n
2805;28;ełcki;2;859867;20900;8;7;0;131;155.19;n
2806;28;giżycki;1;583739;49973;13;19;0;0;175.72;n
2807;28;iławski;0;0;0;10;14;0;89;173.55;n
2808;28;kętrzyński;0;0;0;7;4;0;0;147.12;n
2809;28;lidzbarski;0;0;0;3;5;0;0;147.19;n
2810;28;mrągowski;0;0;0;31;28;0;0;165.96;n
2811;28;nidzicki;0;0;0;3;2;0;0;126.02;n
2812;28;nowomiejski;3;1169843;30280;3;2;0;0;127.49;n
2813;28;olecki;1;324972;773;2;3;0;0;138.18;n
2814;28;olsztyński;0;0;0;10;12;0;0;202.06;n
2815;28;ostródzki;4;1294403;60635;16;18;0;0;164.42;n
2816;28;piski;1;236193;5349;10;10;0;0;132.32;n
2817;28;szczycieński;0;0;0;6;8;1;1103;153.32;n
2818;28;gołdapski;3;670451;23896;5;5;0;0;126.07;n
2819;28;węgorzewski;0;0;0;2;4;0;0;141.92;n
2861;28;m.Elbląg;2;830831;10104;11;11;2;856;252.07;n
2862;28;m.Olsztyn;11;12393096;491841;16;16;4;7364;305.66;n
3001;30;chodzieski;2;341298;6538;12;10;0;0;195.06;nw
3002;30;czarnkowsko-trzcianecki;1;664786;25287;8;7;0;16;175.42;nw
3003;30;gnieźnieński;11;54951093;1850434;21;14;2;385;201.37;nw
3004;30;gostyński;5;1809860;110952;6;4;0;0;236.41;nw
3005;30;grodziski(wielkopolskie);6;1961062;-46727;5;5;0;0;194.51;nw
3006;30;jarociński;2;552465;10796;6;6;0;0;187.22;nw
3007;30;kaliski;0;0;0;5;9;0;0;163.4;nw
3008;30;kępiński;3;1319646;-16437;3;4;0;0;277.75;nw
3009;30;kolski;0;0;0;5;6;0;0;168.08;nw
3010;30;koniński;0;0;0;14;15;0;0;159.29;nw
3011;30;kościański;3;850744;32066;6;5;0;0;205.32;nw
3012;30;krotoszyński;3;6588329;410695;6;6;0;0;192.61;nw
3013;30;leszczyński;0;0;0;13;13;0;0;176.03;nw
3014;30;międzychodzki;1;495341;651;4;4;0;0;184.54;nw
3015;30;nowotomyski;6;2754479;229345;9;10;0;85;223.41;nw
3016;30;obornicki;5;2871187;29142;3;3;0;0;192.75;nw
3017;30;ostrowski(wielkopolskie);8;4380110;200334;12;13;0;219;212.42;nw
3018;30;ostrzeszowski;0;0;0;4;3;0;0;189.13;nw
3019;30;pilski;0;0;0;14;11;2;521;214.45;nw
3020;30;pleszewski;9;6764647;257941;3;6;0;0;162.22;nw
3021;30;poznański;0;0;0;48;50;0;0;371.95;nw
3022;30;rawicki;3;2909218;119363;4;3;0;0;194.54;nw
3023;30;słupecki;3;2041733;35387;2;3;1;0;167.07;nw
3024;30;szamotulski;12;38698365;552113;6;6;0;0;230.94;nw
3025;30;średzki(wielkopolskie);4;1096434;-44874;6;7;1;309;221.7;nw
3026;30;śremski;1;270634;1079;6;5;0;0;211.69;nw
3027;30;turecki;2;1211336;35197;5;4;0;0;184.28;nw
3028;30;wągrowiecki;0;0;0;3;2;0;53;167.8;nw
3029;30;wolsztyński;0;0;0;10;9;0;0;211.11;nw
3030;30;wrzesiński;7;2444628;83047;7;8;0;0;226.46;nw
3031;30;złotowski;0;0;0;3;4;0;0;153.32;nw
3061;30;m.Kalisz;3;731536;18371;8;9;1;1074;315.69;nw
3062;30;m.Konin;0;0;0;2;2;3;734;266.01;nw
3063;30;m.Leszno;4;1607647;38093;6;5;2;673;307.29;nw
3064;30;m.Poznań;62;117762973;3037578;60;73;24;32531;434.03;nw
3201;32;białogardzki;1;421067;67049;2;2;0;0;156.75;nw
3202;32;choszczeński;0;0;0;4;3;0;0;147.22;nw
3203;32;drawski;9;12849567;172872;4;6;0;0;165.08;nw
3204;32;goleniowski;5;8195236;231187;5;10;0;0;207.51;nw
3205;32;gryficki;0;0;0;14;13;0;1;162.84;nw
3206;32;gryfiński;1;176465;12676;8;7;0;0;167.29;nw
3207;32;kamieński;0;0;0;17;19;0;0;177.72;nw
3208;32;kołobrzeski;1;266218;3996;26;29;0;47;229.01;nw
3209;32;koszaliński;0;0;0;12;15;0;0;190.11;nw
3210;32;myśliborski;1;174648;3848;7;7;0;0;170.5;nw
3211;32;policki;0;0;0;7;6;0;0;350.98;nw
3212;32;pyrzycki;2;549756;28883;0;2;0;0;131.02;nw
3213;32;sławieński;0;0;0;6;8;0;0;161.75;nw
3214;32;stargardzki;2;2206992;75263;8;11;0;78;194.62;nw
3215;32;szczecinecki;4;3347348;-14965;5;6;0;60;177.7;nw
3216;32;świdwiński;0;0;0;2;1;0;0;167.39;nw
3217;32;wałecki;0;0;0;6;7;1;102;168.7;nw
3218;32;łobeski;0;0;0;1;3;0;0;139.62;nw
3261;32;m.Koszalin;4;1297481;23952;9;10;3;2126;281.61;nw
3262;32;m.Szczecin;0;0;0;30;32;12;9443;289.65;nw
3263;32;m.Świnoujście;1;390140;100332;25;28;0;0;252.88;nw
