no;name;movies
412;Gregg Barton;2
413;Jacques Berthier;2
414;Denise Darcel;2
415;Ruth Roland;2
416;Magda Konopka;2
417;Evelyne Scott;2
418;Rex;2
419;Lawrence Evenchick;2
420;Cathy O'Donnell;2
421;Roberto Ballesteros;2
422;Frank McHugh;2
423;Michael Pate;2
424;Jason Patric;2
425;Joan Vohs;2
426;Belle Hutchinson;2
427;John Savage;2
428;Violet Schram;2
429;Shirley Jones;2
430;Joan Caulfield;2
431;Beatrice Gray;2
432;Maria Montez;2
433;W.E. Lawrence;2
434;Anne Nagel;2
435;Alicia Vergel;2
436;Stefano Buccella;2
437;Ramón Bugarini;2
438;Duke;2
439;Alan Scott;2
440;Darren McGavin;2
441;Anthony Steel;2
442;Robert Conrad;2
443;Marco Antonio Campos;2
444;Ruta Lee;2
445;Tank Jones;2
446;Rickey Bird Jr.;2
447;Chris Robinson;2
448;Sidney Blackmer;2
449;Kathryn Crawford;2
450;Sam Flint;2
451;Marjorie Rambeau;2
452;Gary Kent;2
453;Barbara Brylska;2
454;Joan Lowell;2
455;Andrew Duggan;2
456;Pepe Rojas;2
457;Caruth C. Byrd;2
458;Enrique Rocha;2
459;Mercedes McCambridge;2
460;Kevin Makely;2
461;Grant Williams;2
462;Gertrude Howard;2
463;Earl Haley;2
464;Carlos Rivas;2
465;Tony Senzamici;2
466;Gordon Scott;2
467;Carroll Baker;2
468;Sam Allen;2
469;Andrew Arbuckle;2
470;Joan Crawford;2
471;Feridun Çölgeçen;2
472;Rosy Zichel;2
473;Inna Gest;2
474;Alain Delon;2
475;Brenda Bakke;2
476;Mary Beth Milford;2
477;Helen Twelvetrees;2
478;Annalica Bates;2
479;Sidney Poitier;2
480;María Silva;2
481;Girard Swan;2
482;Annekathrin Bürger;2
483;Dan White;2
484;Harvey Stephens;2
485;Alejandro Jodorowsky;2
486;Alexander Carroll;2
487;Miguel Contreras Torres;2
488;Karla Cowan;2
489;Tex Keith;2
490;Ruth Whitney;2
491;Virna Lisi;2
492;Delia Magaña;2
493;William Eugene;2
494;Hailee Steinfeld;2
495;Virginia Gilmore;2
496;Mariette Hartley;2
497;Ken Clark;2
