Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
802;773;Autorud s.j., Stalowa Wola;4511;455700;14111;Stalowa Wola, PL;50.568985 22.064467;Wola,;50.569751;22.059629
803;797;Instanta sp. z o.o., Żory;1083;455598;b.d.;Żory, PL;50.045496 18.694348;PL,PL;50.043202;18.695279
804;971;PH Conkret sp. z o.o., Biała Podlaska;4671;454342;1220;Biała Podlaska, PL;52.03384 23.119395;Podlaska,;52.033208;23.118611
805;740;Wavemaker sp. z o.o., Warszawa;7311;453656;-1267;Warszawa, PL;52.231924 21.006727;PL,PL;52.295354;21.009076
806;744;Stolzle Częstochowa sp. z o.o., Częstochowa;2313;452967;49878;Częstochowa, PL;50.812047 19.113213;PL,PL;50.813497;19.119884
807;636;Olsa Poland sp. z o.o., Kostrzyn Nad Odrą;2740;452587;-4069;Kostrzyn Nad Odrą, PL;52.589874 14.653634;Nad;52.594883;14.649795
808;851;Interprint sp. z o.o., Ozorków;1711;452127;23245;Ozorków, PL;51.96361 19.291811;PL,PL;51.964905;19.295790
809;913;Fabryka Kabli Elpar sp. z o.o., Parczew;2732;451064;18495;Parczew, PL;51.639 22.9;PL,PL;51.640999;22.901927
810;790;AIR Liquide Polska sp. z o.o., Kraków;2011;450232;52637;Kraków, PL;50.064529 19.983206;PL,PL;50.074649;20.008982
811;832;Borg Automotive sp. z o.o., Zduńska Wola;2932;449508;17108;Zduńska Wola, PL;51.602862 18.93332;Wola,;51.600311;18.930072
812;726;Hilton Foods Ltd sp. z o.o., Tychy;1011;448805;4872;Tychy, PL;50.124731 18.986993;PL,PL;50.125717;18.985527
813;907;Nelro Data SA, Warszawa;4651;448740;-8069;Warszawa, PL;52.231924 21.006727;PL,PL;52.231376;21.003984
814;877;Inter Land sp. z o.o. sp.k., Olsztyn;4531;448627;1715;Olsztyn, PL;53.775411 20.481225;PL,PL;53.778543;20.474860
815;722;Zakład Produkcji Folii Efekt Plus sp. z o.o., Rzeszów;2222;447953;18106;Rzeszów, PL;50.037453 22.004717;PL,PL;50.040331;22.007816
816;1023;Polmlek Raciąż sp. z o.o., Raciąż;1051;447782;1336;Raciąż, PL;52.781059 20.118111;PL,PL;52.781006;20.116214
817;850;SAP Polska sp. z o.o., Warszawa;6201;446656;24882;Warszawa, PL;52.231924 21.006727;PL,PL;52.201105;20.996091
818;1054;Energopol Szczecin SA, Szczecin;4291;446612;3209;Szczecin, PL;50.276037 9.90885;PL,PL;50.281447;9.917879
819;730;Natura sp. z o.o., Warszawa;4775;446539;9799;Warszawa, PL;52.231924 21.006727;PL,PL;52.262305;21.020206
820;673;Gilead Sciences Poland sp. z o.o., Warszawa;2120;446367;16807;Warszawa, PL;52.231924 21.006727;PL,PL;52.237610;21.063292
821;918;Autopart SA, Mielec;4531;445896;4802;Mielec, PL;49.469489 13.604368;PL,PL;49.468770;13.605506
822;396;CapGemini Polska sp. z o.o., Warszawa;6449;445000;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;52.242528;21.067554
823;978;Omida Group sp. z o.o. GK, Gdańsk;4941;443901;4923;Gdańsk, PL;54.347628 18.645203;PL,PL;54.356279;18.628353
824;769;Mando Corporation Poland sp. z o.o., Wałbrzych;2932;443761;5670;Wałbrzych, PL;50.765905 16.282542;PL,PL;50.760956;16.285630
825;697;Teva Pharmaceuticals Polska sp. z o.o., Warszawa;7311;443163;7125;Warszawa, PL;52.231924 21.006727;PL,PL;52.218367;21.046513
826;878;Nidec Motors & Actuators sp. z o.o., Niepołomice;2932;442454;35850;Niepołomice, PL;50.033182 20.216801;PL,PL;50.038670;20.218073
827;719;Profim sp. z o.o., Turek;3101;442235;12187;Turek, PL;39.78373 -100.445882;PL,PL;39.787492;-100.448894
828;874;Integrated Solutions sp. z o.o., Warszawa;4652;441603;6472;Warszawa, PL;52.231924 21.006727;PL,PL;52.280162;21.038470
829;985;Payup Polska SA, Komorniki;6120;440257;142;Komorniki, PL;51.717222 19.492778;PL,PL;51.715886;19.492286
830;820;Fuchs Oil Corporation (PL) sp. z o.o., Gliwice;1920;439514;42893;Gliwice, PL;50.294113 18.665731;PL,PL;50.286495;18.660442
831;736;Procter And Gamble Polska sp. z o.o., Warszawa;6910;438684;26361;Warszawa, PL;52.231924 21.006727;PL,PL;52.234829;20.991341
832;1036;Regenersis (Warsaw) sp. z o.o., Raszyn-Janki;9512;438337;13087;Raszyn-Janki, PL;52.136883 20.899273;PL,PL;52.138420;20.899073
833;658;Komsa Polska sp. z o.o., Wrocław;4652;438282;264;Wrocław, PL;51.108978 17.032669;PL,PL;51.087161;17.034102
834;1027;Fenix Metals sp. z o.o., Chmielów;2443;438150;23548;Chmielów, PL;50.366675 20.339033;PL,PL;50.367912;20.338443
835;828;A.P.N. Promise SA SG, Warszawa;4690;437936;7212;Warszawa, PL;52.231924 21.006727;PL,PL;52.274698;20.992105
836;818;Microsoft sp. z o.o., Warszawa;6209;435935;40836;Warszawa, PL;52.231924 21.006727;PL,PL;52.236589;21.032916
837;739;Antalis Poland sp. z o.o., Warszawa;4690;435674;-14560;Warszawa, PL;52.231924 21.006727;PL,PL;52.244678;20.965558
838;869;Okręgowa Spółdzielnia Mleczarska, Włoszczowa;1051;435212;2110;Włoszczowa, PL;50.852073 19.966777;PL,PL;50.854482;19.965514
839;775;WEPA Professional Piechowice SA, Piechowice;1722;434361;27814;Piechowice, PL;50.849296 15.591568;PL,PL;50.847994;15.592559
840;792;Rosti Poland sp. z o.o., Białystok;2229;433949;4879;Białystok, PL;53.132398 23.159168;PL,PL;53.137933;23.162562
841;912;Spółdzielnia Mleczarska, Gostyń;1051;432026;2297;Gostyń, PL;51.884934 17.013286;PL,PL;51.887661;17.009693
842;723;Sokpol sp. z o.o., Myszków;1032;431411;36474;Myszków, PL;50.573648 19.321941;PL,PL;50.572033;19.321276
843;814;Fresenius Kabi Polska sp. z o.o., Warszawa;2120;431095;44715;Warszawa, PL;52.231924 21.006727;PL,PL;52.234200;20.954013
844;932;Velvet Care sp. z o.o., Klucze;1722;430274;24892;Klucze, PL;50.335136 19.560833;PL,PL;50.334764;19.563351
