Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;coord;NEIGHBORHOOD;teryt;nazwa
1020;920;Adama Polska sp. z o.o., Warszawa;4611;353906;5648;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1021;1050;Polskie Mięso i Wędliny Łukosz sp. z o.o., Chybie;1013;353204;3235;Chybie, PL;49.896896 18.815197;PL,PL;2403;cieszyński
1022;959;Iglotex Dystrybucja sp. z o.o., Gdynia;4639;352156;-9030;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1023;1033;GPW SA GK, Warszawa;6611;351956;156091;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1024;983;Rywal-RHC sp. z o.o., Warszawa;4690;351799;9694;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1025;1006;Open Finance SA GK, Warszawa;6619;351655;-18173;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1026;1159;Geofizyka Toruń SA, Toruń;7112;351399;2675;Toruń, PL;53.021067 18.618612;PL,PL;0415;toruński
1027;1379;Mostostal Kraków SA, Kraków;4399;351384;11097;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1028;901;Skłodowski sp.j., Zaręby Kościelne;4675;351083;3736;Zaręby Kościelne, PL;52.757119 22.124824;Kościelne,;1416;ostrowski(mazowieckie)
1029;1172;Polski Gaz SA, Warszawa;4671;350867;3042;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1030;1056;Accenture Services sp. z o.o., Warszawa;7022;350738;21817;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1031;946;Mapei Polska sp. z o.o., Gliwice;2030;350359;31649;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1032;1011;Latex Opony sp. z o.o., Opole;4531;350315;5937;Opole, PL;50.666818 17.923641;PL,PL;1661;m.Opole
1033;964;Altus TFI SA, Warszawa;6630;350234;79852;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1034;953;Majster SA, Rzeszów;4673;350043;19324;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
1035;921;ATR Agrohandel sp. z o.o., Stargard;4621;349397;1255;Stargard, PL;53.337994 15.035049;PL,PL;3214;stargardzki
1036;938;Olimp Laboratories sp. z o.o. GK, Dębica;1086;349377;27084;Dębica, PL;50.05131 21.41085;PL,PL;1803;dębicki
1037;1019;Backer OBR sp. z o.o., Pyrzyce;2521;348823;25264;Pyrzyce, PL;53.1457 14.89267;PL,PL;3212;pyrzycki
1038;1049;Chespa sp. z o.o., Krapkowice;4675;348785;3822;Krapkowice, PL;50.474741 17.967526;PL,PL;1605;krapkowicki
1039;1078;Xella Polska sp. z o.o., Warszawa;2361;348649;18261;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1040;810;Valmet Automotive sp. z o.o., Żary;2920;348614;17784;Żary, PL;51.638516 15.142249;PL,PL;0810;żagański
1041;1310;Staropolskie Specjały sp. z o.o., Goczałkowice-Zdrój;1011;348463;-39200;Goczałkowice-Zdrój, PL;49.94372 18.96605;PL,PL;2402;bielski(śląskie)
1042;725;MMP Neupack Polska sp. z o.o., Bydgoszcz;1721;348147;44288;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1043;1104;Ostróda Yacht sp. z o.o., Ostróda;3012;347848;23074;Ostróda, PL;53.697235 19.969578;PL,PL;2815;ostródzki
1045;1223;Agro-Handel sp. z o.o., Krzywiń;1511;347592;7890;Krzywiń, PL;51.962928 16.819295;PL,PL;3004;gostyński
1046;1035;Toya SA GK, Wrocław;4690;347541;40306;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1047;977;Świecie Recykling sp. z o.o., Świecie;4677;347332;223;Świecie, PL;53.407252 18.445525;PL,PL;0414;świecki
1048;1193;Goodmills Polska sp. z o.o., Poznań;1061;347214;20783;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1049;997;Hellmann Worldwide Logistics Polska, Raszyn;4841;347100;2897;Raszyn, PL;52.158333 20.924167;PL,PL;1465;m.Warszawa
1051;945;MPK sp. z o.o., Poznań;4931;346933;-14439;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1052;1378;Adamietz sp. z o.o., Strzelce Opolskie;4120;346611;5478;Strzelce Opolskie, PL;50.515027 18.30097;Opolskie,;1611;strzelecki
1053;937;Kronospan Chemical Szczecinek sp. z o.o., Szczecinek;2014;346500;5939;Szczecinek, PL;53.708021 16.694392;PL,PL;3215;szczecinecki
1054;1107;Fresh Logistics Polska sp. z o.o., Gądki;4941;346073;28998;Gądki, PL;52.3126 17.046621;PL,PL;3064;m.Poznań
1055;1189;Chodzeń sp. z o.o. sp.k., Piaseczno;4511;345338;9988;Piaseczno, PL;53.58206 16.13332;PL,PL;3203;drawski
1056;933;Vivus Finance sp. z o.o., Warszawa;6492;344608;95240;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1057;984;Arhelan sp. z o.o. sp.k., Bielsk Podlaski;4711;344593;5175;Bielsk Podlaski, PL;52.768756 23.192562;Podlaski,;2003;bielski(podlaskie)
1058;868;XPO Transport Solutions sp. z o.o., Płoty;4941;344096;85;Płoty, PL;53.803095 15.266399;PL,PL;3204;goleniowski
1059;914;ZAP Sznajder Batterien SA, Piastów;2720;343165;25876;Piastów, PL;52.18261 20.841374;PL,PL;1421;pruszkowski
1060;1005;Fresh World International sp. z o.o., Bronisze;4631;342489;1132;Bronisze, PL;54.272813 22.441635;PL,PL;2818;gołdapski
1061;1052;Develey Polska sp. z o.o., Warszawa;1084;342225;14630;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1062;957;Eurotel SA GK, Gdańsk;4666;341608;11657;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1063;1210;PPHU Laktopol sp. z o.o., Warszawa;1051;341574;8734;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1064;1083;DHL Exel Supply Chain (Poland) sp. z o.o., Warszawa;5210;341164;-4268;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1065;1469;Grupa Agrocentrum sp. z o.o., Łomża;1091;340392;8735;Łomża, PL;53.17507 22.072755;PL,PL;2062;m.Łomża
1066;1007;Zakłady Wapiennicze Lhoist SA, Tarnów Opolski;2352;340012;50193;Tarnów Opolski, PL;50.580341 18.082716;Opolski,;1611;strzelecki
1067;902;Phoenix Pharma Polska sp. z o.o., Warszawa;5146;339776;6897;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1068;999;PZA Multi Pharme SA, Łomża;4646;339540;2047;Łomża, PL;53.17507 22.072755;PL,PL;2062;m.Łomża
1069;911;Rella Investments sp. z o.o., Poznań;4711;339245;-15149;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1070;795;Tajmax s.j., Kraków;4759;339232;1391;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1071;1181;Tarmax sp. z o.o. sp.k., Rzeszów;4772;338377;40764;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
1073;1208;Spółdzielnia Mleczarska, Ryki;1051;337346;68;Ryki, PL;51.626697 21.935696;PL,PL;0616;rycki
1074;896;TP Teltech sp. z o.o., Łódź;4222;336464;3401;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1075;841;Intersilesia McBride Polska sp. z o.o., Strzelce Opolskie;2041;336431;-2748;Strzelce Opolskie, PL;50.515027 18.30097;Opolskie,;1611;strzelecki
1076;1063;Hutmen SA, Warszawa;2444;335770;48;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1077;1067;Nagel Polska sp. z o.o., Komorniki;4941;335532;5298;Komorniki, PL;51.717222 19.492778;PL,PL;1006;łódzki wschodni
1078;1226;PH Konrad, Łomża;4623;335310;16204;Łomża, PL;53.17507 22.072755;PL,PL;2062;m.Łomża
1079;1001;Havas Media sp. z o.o., Rembertów;7311;335223;11059;Rembertów, PL;52.261415 21.162819;PL,PL;1465;m.Warszawa
1080;1170;Mago SA, Nadarzyn;3101;335121;5434;Nadarzyn, PL;52.094722 20.8075;PL,PL;1421;pruszkowski
1081;903;Ghelamco Poland sp. z o.o., Warszawa;4120;334709;5106;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1082;374;Stocznia Remontowa Shipbuilding SA GK, Gdańsk;3011;334706;8674;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1083;1079;Marflex-M.J. Maillis Poland, Karczew;2222;334156;-9692;Karczew, PL;52.07828 21.250807;PL,PL;1417;otwocki
1084;898;Metro Properties sp. z o.o., Warszawa;6820;334004;-87867;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1085;1381;Glob-Terminal sp. z o.o., Białystok;4671;333711;6173;Białystok, PL;53.132398 23.159168;PL,PL;2002;białostocki
1086;1062;Liberty Poland SA, Chorzów;4742;332232;-2866;Chorzów, PL;50.297879 18.954447;PL,PL;2463;m.Chorzów
1087;1125;Real SA, Siedlce;1039;332093;b.d.;Siedlce, PL;52.166375 22.276514;PL,PL;1464;m.Siedlce
1088;949;Sanha Polska sp. z o.o., Legnica;2593;332008;2186;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
1089;991;PPHU Visscher Caravelle Poland sp. z o.o., Grudziądz;1393;331967;15591;Grudziądz, PL;53.487648 18.755776;PL,PL;0414;świecki
1090;1090;Polski Ogród sp. z o.o., Warszawa;1039;331287;12816;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1091;950;SMG Poland sp. z o.o., Warszawa;7312;330724;12313;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1092;1173;RZD Res-Drob sp. z o.o., Rzeszów;1012;330702;7880;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
1093;1244;PW Dremex sp. z o.o., Rudna Mała;2593;330480;7517;Rudna Mała, PL;51.631201 16.683288;Mała,;0204;górowski
1094;948;Bonduelle Polska SA, Warszawa;1039;330460;7963;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1095;1117;Archicom SA GK, Wrocław;4110;330285;57282;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1096;1077;Kärcher sp. z o.o., Kraków;4690;329315;19473;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1097;1597;Track Tec SA, Warszawa;2361;328864;24081;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1099;1152;Makita sp. z o.o., Bielsko-Biała;5170;328640;37036;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1100;1157;CCC Factory sp. z o.o., Polkowice;1520;328629;22650;Polkowice, PL;51.503929 16.071337;PL,PL;0211;lubiński
1101;382;Konspol Holding sp. z o.o., Warszawa;1013;328114;3800;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1102;1032;Sodexo Polska sp. z o.o., Warszawa;5629;327751;7268;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1103;917;Karmar SA, Warszawa;4120;327642;-64932;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1104;1168;Zakłady Produkcji Kruszyw Rupińscy sp.j., Szumowo;812;327442;36726;Szumowo, PL;52.930874 22.097851;PL,PL;1416;ostrowski(mazowieckie)
1105;1276;Zakład Drobiarski w Stasinie sp. z o.o., Paprotnia;1012;327407;3192;Paprotnia, PL;50.536626 16.6206;PL,PL;0224;ząbkowicki
1106;881;Przedsiębiorstwo Drobiarskie Wyrębski, Wróblew;1012;327085;166;Wróblew, PL;51.986495 19.249695;PL,PL;1020;zgierski
1107;1280;Galon sp. z o.o., Świętochłowice;4671;327027;815;Świętochłowice, PL;50.290706 18.921403;PL,PL;2463;m.Chorzów
1108;1038;Dürr Poland sp. z o.o., Radom;7112;326835;8419;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
1109;1021;Messer Polska sp. z o.o., Chorzów;2011;326411;12713;Chorzów, PL;50.297879 18.954447;PL,PL;2463;m.Chorzów
1110;1025;Arche sp. z o.o. GK, Warszawa;4120;326330;27188;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1111;1026;Trouw Nutrition Polska sp. z o.o., Grodzisk Mazowiecki;1091;326309;18696;Grodzisk Mazowiecki, PL;52.106622 20.631344;Mazowiecki,;1405;grodziski(mazowieckie)
1112;998;PPG Industries Poland sp. z o.o., Gliwice;2561;326153;6324;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1114;1215;Orion Pu sp. z o.o., Dzierżoniów;2030;325942;9709;Dzierżoniów, PL;50.730263 16.654655;PL,PL;0219;świdnicki(śląskie)
1115;986;Seoyon Electronics Poland sp. z o.o., Gliwice;2910;325837;3428;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1116;620;Best Oil sp. z o.o., Leszno;1041;325172;-3112;Leszno, PL;51.84365 16.574414;PL,PL;3063;m.Leszno
1117;1122;Supros sp. z o.o., Bakałarzewo;4621;324972;773;Bakałarzewo, PL;54.081234 22.644079;PL,PL;2813;olecki
1118;1076;Paged-Sklejka SA, Morąg;1621;324452;14128;Morąg, PL;53.911998 19.92799;PL,PL;2815;ostródzki
1119;1179;ETO Magnetic sp. z o.o., Wrocław;2611;324084;17785;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1120;1138;Centrum Medyczne Enel-Med SA, Warszawa;8622;323728;-3306;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1121;1061;HTL-Strefa SA, Ozorków;3250;323600;73631;Ozorków, PL;51.96361 19.291811;PL,PL;1020;zgierski
1122;1091;A Kayser Automotive Systems Polska, Batorowo;2932;323515;565;Batorowo, PL;54.242222 19.351111;PL,PL;2804;elbląski
1123;1182;EXG Investments SA, Częstochowa;6612;322739;1673;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1124;1060;Tuplex sp. z o.o., Warszawa;4676;322571;14303;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1125;1242;Carserwis sp. z o.o., Warszawa;4511;322546;1917;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1126;1088;Przedsiębiorstwo Metali Nieżelaznych Bobrek sp.j.;3832;322291;15479;Bobrek, PL;50.284785 19.239858;PL,PL;2401;będziński
1127;826;Sygnity SA GK, Warszawa;6201;322264;-123315;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1128;1311;Ekoinstal sp. z o.o. sp.k., Katowice;2561;322161;12715;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1129;1261;Siniat sp. z o.o., Warszawa;2362;321374;35123;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1130;1055;MPO sp. z o.o. GK, Kraków;8413;320887;3153;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1131;1299;Wawrzaszek ISS sp. z o.o. sp.k. GK, Bielsko-Biała;2910;320212;8258;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1132;1376;Korbanek sp. z o.o., Tarnowo Podgórne;4661;319855;5732;Tarnowo Podgórne, PL;52.465745 16.666445;Podgórne,;3024;szamotulski
1133;796;PPF Hasco-Lek SA GK, Wrocław;2120;318912;1439;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1134;951;Firma Handlowa Davis, Bielsko-Biała;8130;318859;25382;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1135;1086;Stalexport Autostrady SA GK, Katowice;4211;318831;153382;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1136;1155;Mercor SA GK, Gdańsk;4120;318467;11729;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1137;1015;Zakłady Wodociągów i Kanalizacji sp. z o.o., Łódź;3600;318379;5734;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1138;1217;Pipelife Polska SA, Krokowa;2221;316953;7083;Krokowa, PL;54.778814 18.163221;PL,PL;2215;wejherowski
1139;1014;MPK Wrocław sp. z o.o., Wrocław;4931;316184;-26175;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1140;960;NDI SA, Sopot;4120;316124;8836;Sopot, PL;54.444667 18.568587;PL,PL;2264;m.Sopot
1141;1092;Stalexport Autostrada Małopolska SA, Mysłowice;4211;314776;146125;Mysłowice, PL;50.241472 19.141453;PL,PL;2470;m.Mysłowice
1142;1114;Atlantic sp. z o.o., Kobylnica;4638;314534;5343;Kobylnica, PL;54.448608 16.981289;PL,PL;2263;m.Słupsk
1143;1071;Dobroplast Fabryka Okien sp. z o.o., Stary Laskowiec;2223;314231;-13101;Stary Laskowiec, PL;52.951945 22.295569;Laskowiec,;1416;ostrowski(mazowieckie)
1144;;Top Secret sp. z o.o., Łódź;4771;314038;5034;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1145;1031;Marma Polskie Folie sp. z o.o., Warszawa;2222;313197;21316;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1146;1080;Konica Minolta BSP sp. z o.o., Warszawa;4666;313053;11980;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1147;1199;Petrochemia-Blachownia SA, Kędzierzyn-Koźle;2014;312057;-5205;Kędzierzyn-Koźle, PL;50.342506 18.203659;PL,PL;1603;kędzierzyńsko-kozielski
1148;1128;EMC Instytut Medyczny SA GK, Wrocław;8621;311501;747;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1149;1259;Blachprofil 2 sp. z o.o., Kraków;4673;311358;4649;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1150;965;CTL Logistics sp. z o.o., Katowice;4920;310847;3946;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1151;1108;Polimex Energetyka sp. z o.o., Warszawa;3320;310687;-38881;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1152;1944;International Paper Cellulose Fibers, Gdańsk;1711;310680;40918;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1153;833;Refresco sp. z o.o., Kęty;1107;310416;-13756;Kęty, PL;49.881772 19.230204;PL,PL;2402;bielski(śląskie)
1154;1150;Polmos Bielsko Biała SA, Bielsko-Biała;1101;309579;2108;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1155;989;Polskie Młyny SA, Warszawa;1061;309428;-7896;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1156;1124;Avantor Performance Materials Poland SA, Gliwice;2013;309352;25047;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1157;1059;Vive Textile Recycling sp. z o.o., Kielce;4690;308728;5064;Kielce, PL;50.871788 20.630835;PL,PL;2604;kielecki
1158;1057;Farm Frites Poland SA, Lębork;1031;308424;20070;Lębork, PL;54.53915 17.747227;PL,PL;2208;lęborski
1160;1307;PW Batna, Częstochowa;4652;307109;8040;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1161;1308;PW Batna sp. z o.o., Częstochowa;4652;307109;8040;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1162;1093;Knauf Bełchatów sp. z o.o., Rogowiec;2362;306189;51794;Rogowiec, PL;50.693407 16.314926;PL,PL;0221;wałbrzyski
1163;1153;PCC Intermodal SA, Gdynia;5221;306173;1232;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1164;1040;Ferrum SA GK, Katowice;2420;305757;-46857;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1165;1043;O-I Produkcja Polska SA, Jarosław;2313;305656;19420;Jarosław, PL;50.015903 22.679657;PL,PL;1804;jarosławski
1166;1022;Global Cosmed SA, Radom;2042;305519;-78249;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
1167;1361;Galeon sp. z o.o. sp.k., Straszyn;3012;305368;14231;Straszyn, PL;54.272249 18.58231;PL,PL;2204;gdański
1168;1074;Bartex-Bartol sp. z o.o. sp.k., Nowy Tomyśl;1103;305287;37010;Nowy Tomyśl, PL;52.317764 16.129155;Tomyśl,;3015;nowotomyski
1169;1084;Sano sp. z o.o., Koszalin;4711;304932;-7368;Koszalin, PL;54.19092 16.17707;PL,PL;3261;m.Koszalin
1170;1099;Grupa Topex sp. z o.o. sk, Warszawa;4674;304819;b.d.;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1171;1116;PPH Legs sp. z o.o., Aleksandrów Łódzki;4641;304301;19055;Aleksandrów Łódzki, PL;51.819653 19.303538;Łódzki,;1008;pabianicki
1172;1190;Extrans, Sędziszów Małopolski;4941;303926;5972;Sędziszów Małopolski, PL;50.0716 21.700752;Małopolski,;1815;ropczycko-sędziszowski
1173;1003;IMI International sp. z o.o., Olkusz;2814;303856;15974;Olkusz, PL;50.278816 19.559631;PL,PL;1212;olkuski
1174;1230;Instalbud Janosz sp.j., Pszczyna;4690;303397;12368;Pszczyna, PL;49.977833 18.942512;PL,PL;2410;pszczyński
1175;1013;Sarantis Polska SA, Piaseczno;4690;303335;17015;Piaseczno, PL;53.58206 16.13332;PL,PL;3203;drawski
1176;1051;KRKA Polska sp. z o.o., Warszawa;2120;303219;12128;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1178;1178;Mercator Medical SA, Kraków;4646;300764;4927;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1179;1068;Opoczno I sp. z o.o., Opoczno;2331;300678;48668;Opoczno, PL;51.376816 20.28645;PL,PL;1007;opoczyński
1180;1127;Igepa Polska sp. z o.o., Kraków;4690;300624;100;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1181;1180;Wolter Koops International Logistics, Komorniki;4941;300468;10979;Komorniki, PL;51.717222 19.492778;PL,PL;1006;łódzki wschodni
1182;1264;Alma-Alpinex SA, Kielce;4639;300037;4637;Kielce, PL;50.871788 20.630835;PL,PL;2604;kielecki
1183;1209;Unimetalex sp.j., Warszewice;4677;298769;2362;Warszewice, PL;51.876082 19.628626;PL,PL;1020;zgierski
1184;1160;CP Glass SA, Kraków;2313;298252;64117;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1185;1952;SSI Schafer sp. z o.o., Warszawa;4690;298178;513;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1186;1154;WTC sp. z o.o., Warszawa;4519;298063;2006;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1187;1380;Moniecka Spółdzielnia Mleczarska, Mońki;1051;297745;13660;Mońki, PL;53.406574 22.798377;PL,PL;2008;moniecki
1188;1098;Eaton Truck Components sp. z o.o., Tczew;2932;297136;6193;Tczew, PL;54.086953 18.800029;PL,PL;2214;tczewski
1189;1008;BT Bruno Tassi Północ sp. z o.o. sp.k., Gdańsk;4632;296925;4187;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1190;947;Dowhan sp. z o.o., Jasień;4635;296608;481;Jasień, PL;51.772203 19.5278;PL,PL;1006;łódzki wschodni
1191;1277;Baltima sp. z o.o. Gdynia;4633;296294;2122;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1192;1113;Biofarm sp. z o.o., Poznań;2120;296065;53996;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1193;1232;Piotruś Pan sp. z o.o. sp.k., Przemyśl;4639;294641;8057;Przemyśl, PL;49.782156 22.769263;PL,PL;1862;m.Przemyśl
1194;1146;Biazet SA, Białystok;2751;294577;5380;Białystok, PL;53.132398 23.159168;PL,PL;2002;białostocki
1195;1351;Spiżarnia sj, Lublin;4632;293808;7797;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
1196;1616;Polnord SA GK, Gdynia;4120;293635;3312;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1197;1191;Groclin SA GK, Grodzisk Wielkopolski;2932;293500;-81523;Grodzisk Wielkopolski, PL;52.22632 16.362811;Wielkopolski,;3005;grodziski(wielkopolskie)
1199;897;Allianz Polska Services sp. z o.o., Warszawa;6619;293224;8702;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1200;1205;Elektrotim SA GK, Wrocław;4321;293087;-4482;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1201;1247;Zakłady Mięsne Unimięs SA, Chrzanów;1013;292795;398;Chrzanów, PL;51.833333 17.816667;PL,PL;3020;pleszewski
1203;1243;Termo Organika sp. z o.o., Kraków;2221;292619;12203;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1204;1968;Vantage Development SA, Wrocław;7010;292477;22958;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1205;1251;BMG Goworowski sp. z o.o., Gdynia;4511;292441;8625;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1206;1174;Sambud-2 K. Stępak i Wspólnicy sp.j. GK, Kraków;4672;292326;15114;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1207;1158;PPT PKS Gdańsk-Oliwa SA, Gdańsk;4941;292097;3744;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1208;1142;Lodziarnie Firmowe sp. z o.o. sp.k., Wiązowna;1052;291903;20902;Wiązowna, PL;52.171197 21.303963;PL,PL;1417;otwocki
1209;1236;Nord Napędy Zakłady Prod. sp. z o.o., Nowa Sól;2815;291811;18567;Nowa Sól, PL;51.803249 15.711935;Sól,;0804;nowosolski
1210;994;Inglot sp. z o.o. GK, Przemyśl;2042;291781;b.d.;Przemyśl, PL;49.782156 22.769263;PL,PL;1862;m.Przemyśl
1211;1275;Jones Lang Lasalle sp. z o.o., Warszawa;6831;291629;61537;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1212;1166;Juki Central Europe sp. z o.o., Warszawa;4664;291266;9948;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1213;1265;Jelcz sp. z o.o., Jelcz;2910;291151;5314;Jelcz, PL;51.020389 17.317006;PL,PL;0215;oławski
1214;1327;Molex sp. z o.o., Sulęcin;2931;290843;-24906;Sulęcin, PL;51.9275 17.835278;PL,PL;3020;pleszewski
1215;1175;KPPD SA, Szczecinek;1610;290707;4239;Szczecinek, PL;53.708021 16.694392;PL,PL;3215;szczecinecki
1216;843;Eltel Networks Energetyka SA, Gutkowo;4222;290649;3178;Gutkowo, PL;53.799747 20.400654;PL,PL;2862;m.Olsztyn
1217;1412;Atende SA GK, Warszawa;6209;290617;12733;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1218;1162;Quadrum-Foods sp. z o.o. sp.k., Kraków;4631;290357;b.d.;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1220;1442;Impress Decor Polska sp. z o.o., Ełk;1812;289907;-7277;Ełk, PL;53.817517 22.350371;PL,PL;2805;ełcki
1221;1346;Euro Styl GK sp. z o.o., Gdańsk;6810;289683;41252;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1222;1112;Egis Polska Dystrybucja sp. z o.o., Warszawa;4646;289487;7301;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
