teryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF
3017;ostrowski(wielkopolskie);8;4380110;200334;12;13;0;219;212.42
3018;ostrzeszowski;0;0;0;4;3;0;0;189.13
3019;pilski;0;0;0;14;11;2;521;214.45
3020;pleszewski;9;6764647;257941;3;6;0;0;162.22
3021;poznański;0;0;0;48;50;0;0;371.95
3022;rawicki;3;2909218;119363;4;3;0;0;194.54
3023;słupecki;3;2041733;35387;2;3;1;0;167.07
3024;szamotulski;12;38698365;552113;6;6;0;0;230.94
3025;średzki(wielkopolskie);4;1096434;-44874;6;7;1;309;221.7
3026;śremski;1;270634;1079;6;5;0;0;211.69
3027;turecki;2;1211336;35197;5;4;0;0;184.28
3028;wągrowiecki;0;0;0;3;2;0;53;167.8
3029;wolsztyński;0;0;0;10;9;0;0;211.11
3030;wrzesiński;7;2444628;83047;7;8;0;0;226.46
3031;złotowski;0;0;0;3;4;0;0;153.32
3061;m.Kalisz;3;731536;18371;8;9;1;1074;315.69
3062;m.Konin;0;0;0;2;2;3;734;266.01
3063;m.Leszno;4;1607647;38093;6;5;2;673;307.29
3064;m.Poznań;62;117762973;3037578;60;73;24;32531;434.03
3201;białogardzki;1;421067;67049;2;2;0;0;156.75
3202;choszczeński;0;0;0;4;3;0;0;147.22
3203;drawski;9;12849567;172872;4;6;0;0;165.08
3204;goleniowski;5;8195236;231187;5;10;0;0;207.51
3205;gryficki;0;0;0;14;13;0;1;162.84
3206;gryfiński;1;176465;12676;8;7;0;0;167.29
3207;kamieński;0;0;0;17;19;0;0;177.72
3208;kołobrzeski;1;266218;3996;26;29;0;47;229.01
3209;koszaliński;0;0;0;12;15;0;0;190.11
3210;myśliborski;1;174648;3848;7;7;0;0;170.5
3211;policki;0;0;0;7;6;0;0;350.98
3212;pyrzycki;2;549756;28883;0;2;0;0;131.02
3213;sławieński;0;0;0;6;8;0;0;161.75
3214;stargardzki;2;2206992;75263;8;11;0;78;194.62
3215;szczecinecki;4;3347348;-14965;5;6;0;60;177.7
3216;świdwiński;0;0;0;2;1;0;0;167.39
3217;wałecki;0;0;0;6;7;1;102;168.7
3218;łobeski;0;0;0;1;3;0;0;139.62
3261;m.Koszalin;4;1297481;23952;9;10;3;2126;281.61
3262;m.Szczecin;0;0;0;30;32;12;9443;289.65
3263;m.Świnoujście;1;390140;100332;25;28;0;0;252.88
